VarName,SubCompart,Species,Substance,Waarde,SB4N_name,Unit
alpha,agriculturalsoil,Large,Chitosan,0.1,NA,NA
alpha,agriculturalsoil,Large,GO-Chitosan,0.3,NA,NA
alpha,agriculturalsoil,Large,Graphene Oxide,0.1,NA,NA
alpha,agriculturalsoil,Large,microplastic,0.01,NA,NA
alpha,agriculturalsoil,Large,nAg_10nm,0.05,NA,NA
alpha,agriculturalsoil,Large,nC60_10nm,0.1022,AtefSP.s2,NA
alpha,agriculturalsoil,Large,nTiO2_10nm,0.336,NA,NA
alpha,agriculturalsoil,Large,nZnO,0.5,NA,NA
alpha,agriculturalsoil,Large,TRWP,0.01,NA,NA
alpha,agriculturalsoil,Small,Chitosan,0.1,NA,NA
alpha,agriculturalsoil,Small,GO-Chitosan,0.05,NA,NA
alpha,agriculturalsoil,Small,Graphene Oxide,0.1,NA,NA
alpha,agriculturalsoil,Small,microplastic,0.01,NA,NA
alpha,agriculturalsoil,Small,nAg_10nm,0.05,NA,NA
alpha,agriculturalsoil,Small,nC60_10nm,0.1022,AtefSA.s2,NA
alpha,agriculturalsoil,Small,nTiO2_10nm,0.336,NA,NA
alpha,agriculturalsoil,Small,nZnO,0.15,NA,NA
alpha,agriculturalsoil,Small,TRWP,0.01,NA,NA
alpha,deepocean,Large,Chitosan,1,NA,NA
alpha,deepocean,Large,GO-Chitosan,1,NA,NA
alpha,deepocean,Large,Graphene Oxide,1,NA,NA
alpha,deepocean,Large,microplastic,0.01,NA,NA
alpha,deepocean,Large,nAg_10nm,1,NA,NA
alpha,deepocean,Large,nC60_10nm,1,AtefSP.w3,NA
alpha,deepocean,Large,nTiO2_10nm,1,NA,NA
alpha,deepocean,Large,nZnO,1,NA,NA
alpha,deepocean,Large,TRWP,0.01,NA,NA
alpha,deepocean,Small,Chitosan,1,NA,NA
alpha,deepocean,Small,GO-Chitosan,1,NA,NA
alpha,deepocean,Small,Graphene Oxide,1,NA,NA
alpha,deepocean,Small,microplastic,0.01,NA,NA
alpha,deepocean,Small,nAg_10nm,1,NA,NA
alpha,deepocean,Small,nC60_10nm,1,AtefSA.w3,NA
alpha,deepocean,Small,nTiO2_10nm,1,NA,NA
alpha,deepocean,Small,nZnO,1,NA,NA
alpha,deepocean,Small,TRWP,0.01,NA,NA
alpha,freshwatersediment,Large,Chitosan,0.1,NA,NA
alpha,freshwatersediment,Large,GO-Chitosan,0.3,NA,NA
alpha,freshwatersediment,Large,Graphene Oxide,0.1,NA,NA
alpha,freshwatersediment,Large,microplastic,0.01,NA,NA
alpha,freshwatersediment,Large,nAg_10nm,0.9,NA,NA
alpha,freshwatersediment,Large,nC60_10nm,0.01,AtefSP.sd1,NA
alpha,freshwatersediment,Large,nTiO2_10nm,0.02,NA,NA
alpha,freshwatersediment,Large,nZnO,0.5,NA,NA
alpha,freshwatersediment,Large,TRWP,0.01,NA,NA
alpha,freshwatersediment,Small,GO-Chitosan,0.1,NA,NA
alpha,freshwatersediment,Small,Graphene Oxide,0.1,NA,NA
alpha,freshwatersediment,Small,microplastic,0.01,NA,NA
alpha,freshwatersediment,Small,nAg_10nm,0.38,NA,NA
alpha,freshwatersediment,Small,nC60_10nm,0.01,AtefSA.sd1,NA
alpha,freshwatersediment,Small,nTiO2_10nm,0.02,NA,NA
alpha,freshwatersediment,Small,nZnO,3.6e-6,NA,NA
alpha,freshwatersediment,Small,TRWP,0.01,NA,NA
alpha,lake,Large,Chitosan,0.1,NA,NA
alpha,lake,Large,GO-Chitosan,0.3,NA,NA
alpha,lake,Large,Graphene Oxide,0.1,NA,NA
alpha,lake,Large,microplastic,0.01,NA,NA
alpha,lake,Large,nAg_10nm,0.9,NA,NA
alpha,lake,Large,nC60_10nm,0.01,AtefSP.w0,NA
alpha,lake,Large,nTiO2_10nm,0.02,NA,NA
alpha,lake,Large,nZnO,0.26,NA,NA
alpha,lake,Large,TRWP,0.01,NA,NA
alpha,lake,Small,Chitosan,0.1,NA,NA
alpha,lake,Small,GO-Chitosan,0.1,NA,NA
alpha,lake,Small,Graphene Oxide,0.1,NA,NA
alpha,lake,Small,microplastic,0.01,NA,NA
alpha,lake,Small,nAg_10nm,0.177,NA,NA
alpha,lake,Small,nC60_10nm,0.01,AtefSA.w0,-
alpha,lake,Small,nTiO2_10nm,0.02,NA,NA
alpha,lake,Small,nZnO,0.62,NA,NA
alpha,lake,Small,TRWP,0.01,NA,NA
alpha,lakesediment,Large,Chitosan,0.1,NA,NA
alpha,lakesediment,Large,GO-Chitosan,0.4,NA,NA
alpha,lakesediment,Large,Graphene Oxide,0.1,NA,NA
alpha,lakesediment,Large,microplastic,0.01,NA,NA
alpha,lakesediment,Large,nAg_10nm,0.9,NA,NA
alpha,lakesediment,Large,nC60_10nm,0.01,AtefSP.sd0,NA
alpha,lakesediment,Large,nTiO2_10nm,0.02,NA,NA
alpha,lakesediment,Large,nZnO,0.5,NA,NA
alpha,lakesediment,Large,TRWP,0.01,NA,NA
alpha,lakesediment,Small,Chitosan,0.1,NA,NA
alpha,lakesediment,Small,GO-Chitosan,0.1,NA,NA
alpha,lakesediment,Small,Graphene Oxide,0.1,NA,NA
alpha,lakesediment,Small,microplastic,0.01,NA,NA
alpha,lakesediment,Small,nAg_10nm,0.177,NA,NA
alpha,lakesediment,Small,nC60_10nm,0.01,AtefSA.sd0,NA
alpha,lakesediment,Small,nTiO2_10nm,0.02,NA,NA
alpha,lakesediment,Small,nZnO,3.6e-6,NA,NA
alpha,lakesediment,Small,TRWP,0.01,NA,NA
alpha,marinesediment,Large,Chitosan,1,NA,NA
alpha,marinesediment,Large,GO-Chitosan,1,NA,NA
alpha,marinesediment,Large,Graphene Oxide,1,NA,NA
alpha,marinesediment,Large,microplastic,0.01,NA,NA
alpha,marinesediment,Large,nAg_10nm,1,NA,NA
alpha,marinesediment,Large,nC60_10nm,1,AtefSP.sd2,NA
alpha,marinesediment,Large,nTiO2_10nm,1,NA,NA
alpha,marinesediment,Large,nZnO,1,NA,NA
alpha,marinesediment,Large,TRWP,0.01,NA,NA
alpha,marinesediment,Small,Chitosan,1,NA,NA
alpha,marinesediment,Small,GO-Chitosan,1,NA,NA
alpha,marinesediment,Small,Graphene Oxide,1,NA,NA
alpha,marinesediment,Small,microplastic,0.01,NA,NA
alpha,marinesediment,Small,nAg_10nm,1,NA,NA
alpha,marinesediment,Small,nC60_10nm,1,AtefSA.sd2,NA
alpha,marinesediment,Small,nTiO2_10nm,1,NA,NA
alpha,marinesediment,Small,nZnO,1,NA,NA
alpha,marinesediment,Small,TRWP,0.01,NA,NA
alpha,naturalsoil,Large,Chitosan,0.1,NA,NA
alpha,naturalsoil,Large,GO-Chitosan,0.4,NA,NA
alpha,naturalsoil,Large,Graphene Oxide,0.1,NA,NA
alpha,naturalsoil,Large,microplastic,0.01,NA,NA
alpha,naturalsoil,Large,nAg_10nm,0.08,NA,NA
alpha,naturalsoil,Large,nC60_10nm,0.1022,AtefSP.s1,NA
alpha,naturalsoil,Large,nTiO2_10nm,0.336,NA,NA
alpha,naturalsoil,Large,nZnO,0.5,NA,NA
alpha,naturalsoil,Large,TRWP,0.01,NA,NA
alpha,naturalsoil,Small,Chitosan,0.1,NA,NA
alpha,naturalsoil,Small,GO-Chitosan,0.2,NA,NA
alpha,naturalsoil,Small,Graphene Oxide,0.1,NA,NA
alpha,naturalsoil,Small,microplastic,0.01,NA,NA
alpha,naturalsoil,Small,nAg_10nm,0.08,NA,NA
alpha,naturalsoil,Small,nC60_10nm,0.1022,AtefSA.s1,NA
alpha,naturalsoil,Small,nTiO2_10nm,0.336,NA,NA
alpha,naturalsoil,Small,nZnO,0.15,NA,NA
alpha,naturalsoil,Small,TRWP,0.01,NA,NA
alpha,othersoil,Large,Chitosan,0.1,NA,NA
alpha,othersoil,Large,GO-Chitosan,0.2,NA,NA
alpha,othersoil,Large,Graphene Oxide,0.1,NA,NA
alpha,othersoil,Large,microplastic,0.01,NA,NA
alpha,othersoil,Large,nAg_10nm,0.045,NA,NA
alpha,othersoil,Large,nC60_10nm,0.1022,AtefSP.s3,NA
alpha,othersoil,Large,nTiO2_10nm,0.336,NA,NA
alpha,othersoil,Large,nZnO,0.5,NA,NA
alpha,othersoil,Large,TRWP,0.01,NA,NA
alpha,othersoil,Small,Chitosan,0.1,NA,NA
alpha,othersoil,Small,GO-Chitosan,0.1,NA,NA
alpha,othersoil,Small,Graphene Oxide,0.1,NA,NA
alpha,othersoil,Small,microplastic,0.01,NA,NA
alpha,othersoil,Small,nAg_10nm,0.045,NA,NA
alpha,othersoil,Small,nC60_10nm,0.1022,AtefSA.s3,NA
alpha,othersoil,Small,nTiO2_10nm,0.336,NA,NA
alpha,othersoil,Small,nZnO,0.15,NA,NA
alpha,othersoil,Small,TRWP,0.01,NA,NA
alpha,river,Large,Chitosan,0.1,NA,NA
alpha,river,Large,GO-Chitosan,0.3,NA,NA
alpha,river,Large,Graphene Oxide,0.1,NA,NA
alpha,river,Large,microplastic,0.01,NA,NA
alpha,river,Large,nAg_10nm,0.9,NA,NA
alpha,river,Large,nC60_10nm,0.01,AtefSP.w1,NA
alpha,river,Large,nTiO2_10nm,0.02,NA,NA
alpha,river,Large,nZnO,0.26,NA,NA
alpha,river,Large,TRWP,0.01,NA,NA
alpha,river,Small,Chitosan,0.1,NA,NA
alpha,river,Small,GO-Chitosan,1,NA,NA
alpha,river,Small,Graphene Oxide,0.1,NA,NA
